prd_id,prd_name,gr_prd_id,category_id,brand_id,price,cost_price,wholesale_price,stock_quantity,unit,image_url,weight
KH00001,Sườn non chay dày,SUON001,CAT0001,BR0001,,,,,,,
KH00002,Sườn non mỏng,SUON001,CAT0001,BR0001,,,,,,,100g
KH00003,Sườn non chay Thanh Dũng 1,SUON001,CAT0001,BR0003,,,,,,,
KH00004,Sườn non chay Thanh Dũng 2,SUON001,CAT0001,BR0003,,,,,,,
KH00005,Sườn non chay mỏng xá thanh dũng 3,SUON001,CAT0001,BR0003,,,,,,,
KH00006,Sườn thanh dũng,SUON001,CAT0001,BR0003,,,,,,,100g
KH00007,Sườn lúa mạch Thanh Dũng,SUON001,CAT0001,BR0003,,,,,,,500g
KH00008,Sườn xoắn âu lạc,SUON001,CAT0001,BR0002,,,,,,,500g
KH00009,Sườn non 2 Âu Lạc,SUON001,CAT0001,BR0002,,,,,,,
KH00010,Sườn Non 3 âu lạc,SUON001,CAT0001,BR0002,,,,,,,
KH00011,Sườn non chay âu lạc 2,SUON001,CAT0001,BR0002,,,,,,,100g
KH00012,Sườn non hoa y,SUON001,CAT0001,BR0004,,,,,,,100g
KH00013,Khô sườn non bảy lên,SUON001,CAT0001,BR0006,,,,,,,
KH00014,Khô sườn non mai dũng,SUON001,CAT0001,BR0005,,,,,,,
KH00015,Sườn ống chay,SUON003,CAT0001,,,,,,,,100g
KH00016,Sườn non chay ống nhập khẩu,SUON003,CAT0001,,,,,,,,
KH00017,Sườn mỏng xá việt nam,SUON001,CAT0001,,,,,,,,
KH00018,Sườn non chay (mỏng vàng) xá,SUON001,CAT0001,,,,,,,,
KH00019,Sườn cốt lết chay bảo an,SUON001,CAT0001,BR0007,,,,,,,
KH00020,Sườn lúa mạch A,SUON001,CAT0001,,,,,,,,
KH00021,Sườn bổ sung lúa mạch SALE,SUON001,CAT0001,,,,,,,,
KH00022,Sườn non chay mỏng bổ sung lúa mạch,SUON001,CAT0001,,,,,,,,
KH00023,Tốp mỡ chay,,CAT0001,,,,,,,,
KH00024,Thịt bằm chay âu lạc,TBAM001,CAT0001,BR0002,,,,,,,
KH00025,Thịt bằm chay xá nhập khẩu,TBAM001,CAT0001,,,,,,,,
KH00026,Thịt bằm chay âu lạc 100g,TBAM001,CAT0001,BR0002,,,,,,,
KH00027,Thịt bằm thanh dũng,TBAM001,CAT0001,BR0003,,,,,,,
KH00028,Lá rong biển,,CAT0001,,,,,,,,100 lá
KH00029,Nấm hầu thủ,,CAT0001,,,,,,,,100g
KH00030,Chân nấm Hoa Y,CNAM001,CAT0001,BR0004,,,,,,,
KH00031,Nấm nút,,CAT0001,,,,,,,,100g
KH00032,Miến chay rong biển,,CAT0001,,,,,,,,1 hộp
KH00033,Nấm đông cô đẹp 3 phân,NAMDC01,CAT0001,,,,,,,,
KH00034,Nấm đông cô khô,NAMDC01,CAT0001,,,,,,,,100g
KH00035,Nấm đông cô khô loại 1,NAMDC01,CAT0001,,,,,,,,
KH00036,Khô lưỡi trâu chay,,CAT0001,,,,,,,,
KH00037,Khô sợi chay mai dũng,KSOI001,CAT0001,BR0005,,,,,,,
KH00038,Khô mực chay Thanh Dũng,,CAT0001,BR0003,,,,,,,50g
KH00039,Khô cá lóc miếng,,CAT0001,,,,,,,,
KH00040,Khô sợi chay bảy lên,KSOI001,CAT0001,BR0006,,,,,,,
KH00041,Ốc bươu chay âu lạc 130g,,CAT0001,BR0002,,,,,,,130g
KH00042,Gà xé thanh dũng,,CAT0001,BR0003,,,,,,,100g
KH00043,Lỗ tai heo chay âu lạc 130g,,CAT0001,BR0002,,,,,,,130g
KH00044,Tảo xoắn,TAOX001,CAT0001,,,,,,,,100g
KH00045,Tảo xoắn Chile,TAOX001,CAT0001,,,,,,,,
KH00046,Cháo chà bông thịt sợi,,CAT0001,,,,,,,,55g
KH00047,Chả cá hàn quốc chay,CHACA01,CAT0001,,,,,,,,100g
KH00048,Gà cục chay Âu Lạc 100g,GCUC001,CAT0001,BR0002,,,,,,,
KH00049,Gà cục nhập khẩu,GCUC001,CAT0001,,,,,,,,100g
KH00050,Gà cục xá thanh dũng,GCUC001,CAT0001,BR0003,,,,,,,
KH00051,Gà lát nhập khẩu,GLAT001,CAT0001,,,,,,,,100g
KH00052,Gà lát chay 1 âu lạc,GLAT001,CAT0001,BR0002,,,,,,,100g
KH00053,Gà lát chay âu lạc 1,GLAT001,CAT0001,BR0002,,,,,,,
KH00054,Tôm Trân Châu Chay Âu Lạc 130g,,CAT0001,BR0002,,,,,,,
KH00055,Cá chép đen chay âu lạc 300g,,CAT0001,BR0002,,,,,,,
KH00056,Củ cải khô,,CAT0001,,,,,,,,
KH00057,Bột kem sữa âu lạc,,CAT0001,BR0002,,,,,,,
KH00058,Khô nai miếng chay âu lạc 50g,,CAT0001,BR0002,,,,,,,
KH00059,Mực ống chay âu lạc 150g,,CAT0001,BR0002,,,,,,,
KH00060,Bò lát chay 2 âu lạc 100g,BLAT001,CAT0001,BR0002,,,,,,,
KH00061,Bò lát xá nhập khẩu,BLAT001,CAT0001,,,,,,,,100g
KH00062,Bò lát chay âu lạc 2,BLAT001,CAT0001,BR0002,,,,,,,
KH00063,Bò lát xá thanh dũng,BLAT001,CAT0001,BR0003,,,,,,,
KH00064,Bò lát hoa y 100g,BLAT001,CAT0001,BR0004,,,,,,,
KH00065,Bò lát thanh dũng 100g,BLAT001,CAT0001,BR0003,,,,,,,
KH00066,Bò lát xá chay vn,BLAT001,CAT0001,,,,,,,,
KH00067,Bóng cá chay xá vn,BCA0001,CAT0001,,,,,,,,
KH00068,Bóng cá chay âu lạc 3,BCA0001,CAT0001,BR0002,,,,,,,
KH00069,Bóng cá chay âu lạc 100g,BCA0001,CAT0001,BR0002,,,,,,,
KH00070,Bóng cá xá nhập khẩu,BCA0001,CAT0001,,,,,,,,
KH00071,Bóng cá thanh dũng,BCA0001,CAT0001,BR0003,,,,,,,
